Nume Echipă (Format Meciuri),Valoare Lot (M€),Coeficient UEFA
Real Madrid es,1350,136
Arsenal eng,1310,72
Manchester City eng,1270,148
Paris S-G fr,1190,116
Barcelona es,1120,91
Liverpool eng,1040,114
Bayern Munich de,980.95,119
Inter it,680.3,101
Atlético Madrid es,598,89
Juventus it,551.7,80
Aston Villa eng,527.8,20.86
Dortmund de,502.9,97
Milan it,493.5,59
Sporting CP pt,473,54.5
Leverkusen de,431.25,90
Atalanta it,412.6,81
RB Leipzig de,409.55,97
Benfica pt,352.5,79
Stuttgart de,344.9,17.324
Monaco fr,339.55,24
Bologna it,291.5,18.056
PSV Eindhoven nl,275,54
Feyenoord nl,236.15,57
Lille fr,235,47
Club Brugge be,194.1,64
Shakhtar ua,165.8,63
Girona es,146.5,17.397
Celtic sct,133.5,32
RB Salzburg at,119.7,50
Brest fr,83.4,13.366
Red Star rs,83.15,40
Sparta Prague cz,75.3,22.5
Dinamo Zagreb hr,64.65,50
Young Boys ch,63.48,34.5
Sturm Graz at,47.68,14.5
Slovan Bratislava sk,31.05,13
