Home,xG_Home,Score,xG_Away,Away,,,,,,,,,
Juventus it,2.9,3–1,1,nl PSV Eindhoven,,,,,,,,,
Young Boys ch,0.6,0–3,2,eng Aston Villa,,,,,,,,,
Sporting CP pt,1.6,2–0,0.4,fr Lille,,,,,,,,,
Bayern Munich de,5.9,9–2,0.7,hr Dinamo Zagreb,,,,,,,,,
Real Madrid es,2.6,3–1,1.9,de Stuttgart,,,,,,,,,
Milan it,0.6,1–3,3.1,eng Liverpool,,,,,,,,,
Sparta Prague cz,2.5,3–0,0.6,at RB Salzburg,,,,,,,,,
Bologna it,1.2,0–0,0.9,ua Shakhtar,,,,,,,,,
Manchester City eng,2.3,0–0,0.7,it Inter,,,,,,,,,
Celtic sct,3.8,5–1,0.5,sk Slovan Bratislava,,,,,,,,,
Paris S-G fr,2.1,1–0,0.2,es Girona,,,,,,,,,
Club Brugge be,1.2,0–3,1.9,de Dortmund,,,,,,,,,
Feyenoord nl,0.8,0–4,1.7,de Leverkusen,,,,,,,,,
Red Star rs,1,1–2,1.3,pt Benfica,,,,,,,,,
Monaco fr,1.3,2–1,0.4,es Barcelona,,,,,,,,,
Atlético Madrid es,1.7,2–1,0.7,de RB Leipzig,,,,,,,,,
Brest fr,2.1,2–1,0.5,at Sturm Graz,,,,,,,,,
Atalanta it,1.2,0–0,0.8,eng Arsenal,,,,,,,,,
,,,,,,,,,,,,,
RB Salzburg at,1.6,0–4,2,fr Brest,,,,,,,,,
Stuttgart de,1.7,1–1,1,cz Sparta Prague,,,,,,,,,
Arsenal eng,0.7,2–0,0.4,fr Paris S-G,,,,,,,,,
Slovan Bratislava sk,0.1,0–4,3.7,eng Manchester City,,,,,,,,,
Leverkusen de,1.8,1–0,1,it Milan,,,,,,,,,
Dortmund de,2.6,7–1,2.1,sct Celtic,,,,,,,,,
Barcelona es,3.4,5–0,0.8,ch Young Boys,,,,,,,,,
Inter it,2.8,4–0,0.5,rs Red Star,,,,,,,,,
PSV Eindhoven nl,2.6,1–1,1.3,pt Sporting CP,,,,,,,,,
Shakhtar ua,0.3,0–3,2.6,it Atalanta,,,,,,,,,
Girona es,2.2,2–3,1.9,nl Feyenoord,,,,,,,,,
Liverpool eng,1.2,2–0,0.6,it Bologna,,,,,,,,,
Benfica pt,4.4,4–0,0.2,es Atlético Madrid,,,,,,,,,
Aston Villa eng,0.4,1–0,1.5,de Bayern Munich,,,,,,,,,
Dinamo Zagreb hr,1,2–2,1.9,fr Monaco,,,,,,,,,
RB Leipzig de,3.3,2–3,1.2,it Juventus,,,,,,,,,
Sturm Graz at,0.4,0–1,0.7,be Club Brugge,,,,,,,,,
Lille fr,1.1,1–0,2,es Real Madrid,,,,,,,,,
,,,,,,,,,,,,,
Monaco fr,3.3,5–1,1,rs Red Star,,,,,,,,,
Milan it,1.2,3–1,0.6,be Club Brugge,,,,,,,,,
Aston Villa eng,1.2,2–0,0.9,it Bologna,,,,,,,,,
Arsenal eng,1.8,1–0,0.7,ua Shakhtar,,,,,,,,,
Paris S-G fr,2.5,1–1,0.2,nl PSV Eindhoven,,,,,,,,,
Girona es,1.7,2–0,0.5,sk Slovan Bratislava,,,,,,,,,
Real Madrid es,3.5,5–2,1.6,de Dortmund,,,,,,,,,
Juventus it,0.2,0–1,2.5,de Stuttgart,,,,,,,,,
Sturm Graz at,0.7,0–2,1.4,pt Sporting CP,,,,,,,,,
Brest fr,0.5,1–1,1,de Leverkusen,,,,,,,,,
Atalanta it,2.4,0–0,0.3,sct Celtic,,,,,,,,,
Manchester City eng,2.9,5–0,0.2,cz Sparta Prague,,,,,,,,,
Benfica pt,1.7,1–3,1,nl Feyenoord,,,,,,,,,
Barcelona es,2.2,4–1,1,de Bayern Munich,,,,,,,,,
RB Salzburg at,1.2,0–2,1.6,hr Dinamo Zagreb,,,,,,,,,
RB Leipzig de,0.8,0–1,2.3,eng Liverpool,,,,,,,,,
Young Boys ch,0.8,0–1,3.3,it Inter,,,,,,,,,
Atlético Madrid es,2.3,1–3,1.3,fr Lille,,,,,,,,,
,,,,,,,,,,,,,
PSV Eindhoven nl,2,4–0,0.8,es Girona,,,,,,,,,
Slovan Bratislava sk,1.7,1–4,1.5,hr Dinamo Zagreb,,,,,,,,,
Sporting CP pt,2.9,4–1,2.1,eng Manchester City,,,,,,,,,
Celtic sct,1.8,3–1,1.3,de RB Leipzig,,,,,,,,,
Liverpool eng,3.7,4–0,0.9,de Leverkusen,,,,,,,,,
Lille fr,0.8,1–1,1.4,it Juventus,,,,,,,,,
Bologna it,0.5,0–1,0.9,fr Monaco,,,,,,,,,
Real Madrid es,2.6,1–3,2.5,it Milan,,,,,,,,,
Dortmund de,2,1–0,0.4,at Sturm Graz,,,,,,,,,
Club Brugge be,1.4,1–0,0.4,eng Aston Villa,,,,,,,,,
Shakhtar ua,2,2–1,1,ch Young Boys,,,,,,,,,
Red Star rs,0.2,2–5,3.6,es Barcelona,,,,,,,,,
Sparta Prague cz,0.5,1–2,1.6,fr Brest,,,,,,,,,
Paris S-G fr,2.1,1–2,0.7,es Atlético Madrid,,,,,,,,,
Stuttgart de,1,0–2,2.3,it Atalanta,,,,,,,,,
Bayern Munich de,1.4,1–0,0.1,pt Benfica,,,,,,,,,
Feyenoord nl,0.8,1–3,1.7,at RB Salzburg,,,,,,,,,
